,time,latitude,longitude,depth,mag
0,2023-02-07T21:14:28.432Z,32.0866,35.2415,10.0,4.1
1,2022-01-23T10:28:07.151Z,32.6567,35.4637,10.0,3.7
2,2022-01-22T21:36:54.822Z,32.6069,35.494,10.0,4.1
3,2021-06-15T23:08:52.705Z,30.2013,35.0504,10.0,4.1
4,2020-12-15T02:30:09.935Z,29.5749,34.9527,10.0,3.9
5,2020-02-06T04:53:51.535Z,32.7294,34.6646,10.0,4.5
6,2018-07-27T08:51:19.030Z,32.8353,35.5216,10.0,2.9
7,2018-07-22T06:41:25.380Z,32.7988,35.6371,10.0,2.9
8,2018-07-04T19:45:40.040Z,32.7972,35.4438,10.0,4.7
9,2018-07-04T01:50:08.350Z,32.786,35.4363,10.0,4.0
10,2015-07-30T02:39:05.400Z,31.3971,35.4781,13.0,4.2
11,2014-05-24T07:27:30.700Z,30.4765,35.3005,20.0,4.1
12,2013-10-20T12:54:05.800Z,32.857,35.571,5.0,3.5
13,2011-08-07T08:52:28.000Z,32.566,34.47,31.0,4.1
14,2009-07-10T18:19:17.900Z,33.305,35.348,10.0,4.0
15,2008-08-13T06:05:29.700Z,33.05,34.55,10.0,3.2
16,2008-07-22T09:08:10.600Z,33.29,35.44,1.0,2.7
17,2008-07-02T09:29:15.700Z,33.425,35.559,20.1,3.1
18,2008-06-23T15:45:46.500Z,33.29,35.43,1.0,3.0
19,2008-06-13T06:16:21.000Z,33.31,35.45,1.0,2.5
20,2008-06-13T05:28:52.700Z,33.32,35.45,1.0,4.0
21,2008-06-12T16:40:41.600Z,33.326,35.452,5.4,4.0
22,2008-06-12T15:43:24.300Z,33.302,35.41,4.3,3.9
23,2008-06-12T15:41:01.000Z,33.31,35.45,0.0,4.2
24,2008-06-12T15:28:59.940Z,33.359,35.42,10.0,4.0
25,2008-06-12T12:58:12.800Z,33.26,35.46,1.0,4.0
26,2008-05-27T06:19:37.700Z,33.27,35.45,1.0,2.9
27,2008-05-23T18:44:30.400Z,33.29,35.44,3.0,2.8
28,2008-05-23T18:25:55.100Z,33.29,35.45,1.0,3.6
29,2008-05-21T12:43:23.500Z,33.27,35.43,1.0,3.6
30,2008-05-19T09:08:15.400Z,33.27,35.43,1.0,3.9
